12, 71, 72, 123, 360, 400 (10)
12, 71, 72, 123, 362, 400 (10)
12, 71, 72, 360, 362, 400 (10)
12, 71, 123, 360, 362, 400 (10)
12, 72, 123, 360, 362, 400 (10)
12, 100, 120, 335, 387, 467 (10)
12, 115, 177, 265, 307, 334 (16)
12, 115, 177, 265, 307, 496 (15)
12, 115, 177, 265, 334, 496 (15)
12, 115, 177, 307, 334, 496 (16)
12, 115, 265, 307, 334, 496 (16)
12, 122, 145, 274, 319, 456 (10)
12, 177, 265, 307, 334, 496 (16)
12, 227, 310, 368, 489, 494 (15)
16, 43, 53, 88, 322, 346 (10)
16, 43, 53, 151, 322, 346 (10)
16, 53, 88, 151, 322, 346 (10)
18, 53, 124, 205, 266, 326 (14)
18, 53, 124, 205, 266, 411 (14)
18, 53, 124, 205, 266, 480 (14)
18, 53, 124, 205, 326, 411 (14)
18, 53, 124, 205, 326, 480 (14)
18, 53, 124, 205, 411, 480 (15)
18, 53, 124, 266, 326, 411 (14)
18, 53, 124, 266, 326, 480 (14)
18, 53, 124, 266, 411, 480 (14)
18, 53, 124, 326, 411, 480 (14)
18, 53, 205, 266, 326, 411 (14)
18, 53, 205, 266, 326, 480 (14)
18, 53, 205, 266, 411, 480 (14)
18, 53, 205, 326, 411, 480 (14)
18, 53, 266, 326, 411, 480 (14)
18, 124, 205, 266, 326, 411 (14)
18, 124, 205, 266, 326, 480 (14)
18, 124, 205, 266, 411, 480 (14)
18, 124, 205, 326, 411, 480 (14)
18, 124, 266, 326, 411, 480 (14)
18, 205, 266, 326, 411, 480 (14)
20, 26, 70, 71, 345, 392 (10)
21, 53, 97, 145, 349, 477 (10)
25, 39, 43, 283, 378, 424 (10)
25, 69, 111, 229, 242, 354 (12)
25, 69, 111, 229, 242, 443 (12)
25, 69, 111, 229, 242, 494 (11)
25, 69, 111, 229, 354, 443 (12)
25, 69, 111, 229, 354, 494 (11)
25, 69, 111, 229, 443, 494 (11)
25, 69, 111, 242, 354, 443 (12)
25, 69, 111, 242, 354, 494 (11)
25, 69, 111, 242, 443, 494 (11)
25, 69, 111, 354, 443, 494 (13)
25, 69, 229, 242, 354, 443 (12)
25, 69, 229, 242, 354, 494 (11)
25, 69, 229, 242, 443, 494 (11)
25, 69, 229, 354, 443, 494 (11)
25, 69, 242, 354, 443, 494 (11)
25, 111, 229, 242, 354, 443 (12)
25, 111, 229, 242, 354, 494 (11)
25, 111, 229, 242, 443, 494 (11)
25, 111, 229, 354, 443, 494 (11)
25, 111, 242, 354, 443, 494 (11)
25, 229, 242, 354, 443, 494 (11)
25, 378, 401, 438, 460, 477 (11)
27, 38, 145, 332, 415, 422 (10)
27, 38, 145, 332, 422, 449 (10)
27, 38, 145, 415, 422, 449 (10)
27, 38, 332, 415, 422, 449 (10)
27, 43, 61, 93, 108, 185 (18)
27, 43, 61, 93, 108, 354 (18)
27, 43, 61, 93, 108, 420 (18)
27, 43, 61, 93, 108, 489 (19)
27, 43, 61, 93, 185, 354 (18)
27, 43, 61, 93, 185, 420 (18)
27, 43, 61, 93, 185, 489 (19)
27, 43, 61, 93, 354, 420 (18)
27, 43, 61, 93, 354, 489 (19)
27, 43, 61, 93, 420, 489 (19)
27, 43, 61, 108, 185, 354 (17)
27, 43, 61, 108, 185, 420 (17)
27, 43, 61, 108, 185, 489 (18)
27, 43, 61, 108, 354, 420 (17)
27, 43, 61, 108, 354, 489 (18)
27, 43, 61, 108, 420, 489 (18)
27, 43, 61, 185, 354, 420 (17)
27, 43, 61, 185, 354, 489 (18)
27, 43, 61, 185, 420, 489 (18)
27, 43, 61, 354, 420, 489 (18)
27, 43, 93, 108, 185, 354 (17)
27, 43, 93, 108, 185, 420 (17)
27, 43, 93, 108, 185, 489 (18)
27, 43, 93, 108, 354, 420 (17)
27, 43, 93, 108, 354, 489 (18)
27, 43, 93, 108, 420, 489 (18)
27, 43, 93, 185, 354, 420 (17)
27, 43, 93, 185, 354, 489 (18)
27, 43, 93, 185, 420, 489 (18)
27, 43, 93, 354, 420, 489 (18)
27, 43, 108, 185, 354, 420 (16)
27, 43, 108, 185, 354, 489 (17)
27, 43, 108, 185, 420, 489 (17)
27, 43, 108, 354, 420, 489 (17)
27, 43, 185, 354, 420, 489 (17)
27, 61, 93, 108, 185, 354 (17)
27, 61, 93, 108, 185, 420 (17)
27, 61, 93, 108, 185, 489 (18)
27, 61, 93, 108, 354, 420 (17)
27, 61, 93, 108, 354, 489 (18)
27, 61, 93, 108, 420, 489 (18)
27, 61, 93, 185, 354, 420 (17)
27, 61, 93, 185, 354, 489 (18)
27, 61, 93, 185, 420, 489 (18)
27, 61, 93, 354, 420, 489 (18)
27, 61, 108, 185, 354, 420 (16)
27, 61, 108, 185, 354, 489 (17)
27, 61, 108, 185, 420, 489 (17)
27, 61, 108, 354, 420, 489 (17)
27, 61, 185, 354, 420, 489 (17)
27, 93, 108, 185, 354, 420 (16)
27, 93, 108, 185, 354, 489 (17)
27, 93, 108, 185, 420, 489 (17)
27, 93, 108, 354, 420, 489 (17)
27, 93, 185, 354, 420, 489 (17)
27, 108, 185, 354, 420, 489 (16)
32, 214, 243, 405, 438, 491 (10)
33, 90, 175, 204, 205, 364 (12)
33, 90, 175, 204, 205, 373 (11)
33, 90, 175, 204, 205, 438 (10)
33, 90, 175, 204, 364, 373 (11)
33, 90, 175, 204, 364, 438 (10)
33, 90, 175, 204, 373, 438 (10)
33, 90, 175, 205, 364, 373 (12)
33, 90, 175, 205, 364, 438 (11)
33, 90, 175, 205, 373, 438 (11)
33, 90, 175, 364, 373, 438 (11)
33, 90, 204, 205, 364, 373 (11)
33, 90, 204, 205, 364, 438 (10)
33, 90, 204, 205, 373, 438 (10)
33, 90, 204, 364, 373, 438 (10)
33, 90, 205, 364, 373, 438 (11)
33, 175, 204, 205, 364, 373 (11)
33, 175, 204, 205, 364, 438 (10)
33, 175, 204, 205, 373, 438 (10)
33, 175, 204, 364, 373, 438 (10)
33, 175, 205, 364, 373, 438 (11)
33, 204, 205, 364, 373, 438 (10)
34, 276, 343, 381, 423, 480 (10)
36, 45, 88, 259, 266, 285 (10)
36, 45, 88, 259, 266, 316 (10)
36, 61, 70, 71, 205, 300 (16)
36, 61, 70, 71, 205, 377 (16)
36, 61, 70, 71, 205, 394 (15)
36, 61, 70, 71, 205, 438 (16)
36, 61, 70, 71, 205, 480 (15)
36, 61, 70, 71, 300, 377 (16)
36, 61, 70, 71, 300, 394 (15)
36, 61, 70, 71, 300, 438 (16)
36, 61, 70, 71, 300, 480 (15)
36, 61, 70, 71, 377, 394 (15)
36, 61, 70, 71, 377, 438 (16)
36, 61, 70, 71, 377, 480 (15)
36, 61, 70, 71, 394, 438 (15)
36, 61, 70, 71, 394, 480 (14)
36, 61, 70, 71, 438, 480 (15)
36, 61, 70, 205, 300, 377 (16)
36, 61, 70, 205, 300, 394 (15)
36, 61, 70, 205, 300, 438 (16)
36, 61, 70, 205, 300, 480 (15)
36, 61, 70, 205, 377, 394 (15)
36, 61, 70, 205, 377, 438 (16)
36, 61, 70, 205, 377, 480 (15)
36, 61, 70, 205, 394, 438 (15)
36, 61, 70, 205, 394, 480 (14)
36, 61, 70, 205, 438, 480 (15)
36, 61, 70, 300, 377, 394 (15)
36, 61, 70, 300, 377, 438 (16)
36, 61, 70, 300, 377, 480 (15)
36, 61, 70, 300, 394, 438 (15)
36, 61, 70, 300, 394, 480 (14)
36, 61, 70, 300, 438, 480 (15)
36, 61, 70, 377, 394, 438 (15)
36, 61, 70, 377, 394, 480 (14)
36, 61, 70, 377, 438, 480 (15)
36, 61, 70, 394, 438, 480 (14)
36, 61, 71, 205, 300, 377 (16)
36, 61, 71, 205, 300, 394 (15)
36, 61, 71, 205, 300, 438 (16)
36, 61, 71, 205, 300, 480 (15)
36, 61, 71, 205, 377, 394 (15)
36, 61, 71, 205, 377, 438 (16)
36, 61, 71, 205, 377, 480 (15)
36, 61, 71, 205, 394, 438 (15)
36, 61, 71, 205, 394, 480 (14)
36, 61, 71, 205, 438, 480 (15)
36, 61, 71, 300, 377, 394 (15)
36, 61, 71, 300, 377, 438 (16)
36, 61, 71, 300, 377, 480 (15)
36, 61, 71, 300, 394, 438 (15)
36, 61, 71, 300, 394, 480 (14)
36, 61, 71, 300, 438, 480 (15)
36, 61, 71, 377, 394, 438 (15)
36, 61, 71, 377, 394, 480 (14)
36, 61, 71, 377, 438, 480 (15)
36, 61, 71, 394, 438, 480 (14)
36, 61, 205, 300, 377, 394 (15)
36, 61, 205, 300, 377, 438 (16)
36, 61, 205, 300, 377, 480 (15)
36, 61, 205, 300, 394, 438 (15)
36, 61, 205, 300, 394, 480 (14)
36, 61, 205, 300, 438, 480 (15)
36, 61, 205, 377, 394, 438 (15)
36, 61, 205, 377, 394, 480 (14)
36, 61, 205, 377, 438, 480 (15)
36, 61, 205, 394, 438, 480 (14)
36, 61, 300, 377, 394, 438 (15)
36, 61, 300, 377, 394, 480 (14)
36, 61, 300, 377, 438, 480 (15)
36, 61, 300, 394, 438, 480 (14)
36, 61, 377, 394, 438, 480 (14)
36, 70, 71, 205, 300, 377 (16)
36, 70, 71, 205, 300, 394 (15)
36, 70, 71, 205, 300, 438 (16)
36, 70, 71, 205, 300, 480 (15)
36, 70, 71, 205, 377, 394 (15)
36, 70, 71, 205, 377, 438 (16)
36, 70, 71, 205, 377, 480 (15)
36, 70, 71, 205, 394, 438 (15)
36, 70, 71, 205, 394, 480 (14)
36, 70, 71, 205, 438, 480 (15)
36, 70, 71, 300, 377, 394 (15)
36, 70, 71, 300, 377, 438 (16)
36, 70, 71, 300, 377, 480 (15)
36, 70, 71, 300, 394, 438 (15)
36, 70, 71, 300, 394, 480 (14)
36, 70, 71, 300, 438, 480 (15)
36, 70, 71, 377, 394, 438 (15)
36, 70, 71, 377, 394, 480 (14)
36, 70, 71, 377, 438, 480 (15)
36, 70, 71, 394, 438, 480 (14)
36, 70, 205, 300, 377, 394 (15)
36, 70, 205, 300, 377, 438 (16)
36, 70, 205, 300, 377, 480 (15)
36, 70, 205, 300, 394, 438 (15)
36, 70, 205, 300, 394, 480 (14)
36, 70, 205, 300, 438, 480 (15)
36, 70, 205, 377, 394, 438 (15)
36, 70, 205, 377, 394, 480 (14)
36, 70, 205, 377, 438, 480 (15)
36, 70, 205, 394, 438, 480 (14)
36, 70, 300, 377, 394, 438 (15)
36, 70, 300, 377, 394, 480 (14)
36, 70, 300, 377, 438, 480 (15)
36, 70, 300, 394, 438, 480 (14)
36, 70, 377, 394, 438, 480 (14)
36, 71, 205, 300, 377, 394 (15)
36, 71, 205, 300, 377, 438 (16)
36, 71, 205, 300, 377, 480 (15)
36, 71, 205, 300, 394, 438 (15)
36, 71, 205, 300, 394, 480 (14)
36, 71, 205, 300, 438, 480 (15)
36, 71, 205, 377, 394, 438 (15)
36, 71, 205, 377, 394, 480 (14)
36, 71, 205, 377, 438, 480 (15)
